commit_hash,commit_date,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,cwes
b13b8684a04d0bc1081104c5973c62c27dc673b0,2025-02-06T15:26:12+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
2598b371a93e21d84b7a2a99b2329535c8c0c138,2025-02-06T14:27:51+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
db7b1ae9f6d9e26facbb3da4cf5f5a513704bfe5,2025-02-06T13:53:43+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
1f33f21fca60c3839bcfc756900fb78bcfd15cc3,2025-02-05T20:15:39-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
e2a8f4dac8ed2b3667a4367756043b1e119f4ce2,2025-02-05T11:21:09-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
294cc965efe0dfc8457aa5a8e78cb6d53abfcf92,2025-02-05T10:38:24-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
5da3ad7bf90fba7321f4c2834db44aa920c70bc7,2025-02-04T16:35:07-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
f609a2da868b2320ecdc0551df3cca360d5b5bc3,2025-02-04T08:54:01-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
1330cb570519170bb4397b4fb02c7e3e0657855a,2025-02-04T07:56:23+00:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
b1324a680add78de24c763911d0eefa19b9263bc,2025-02-04T07:47:26+00:00,576,493,31,14,530,556,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
8ff1399f0656b4ff8181fe7872e426c331d1b1ee,2025-02-04T07:40:02+00:00,576,492,31,14,530,555,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
5f30fd2358fd60a514bdba31594bfc8122f30167,2025-02-03T11:34:23+00:00,576,492,31,14,530,555,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
198b30168d4e94af42e0dc7967bd3259b5c5790b,2025-02-03T09:39:14+00:00,576,492,31,14,530,555,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
d15454a6e84a595ffc8dc1b926282f484f782a8f,2025-02-01T22:49:07-03:00,576,492,31,14,530,555,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
248d8457cbec631ef93d76137bc621106347adda,2025-02-01T22:27:38-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
